"#","MFL Code","DHIS Code","Name","County","Subcounty"
"121","10023","GnHBcfPYmFI","AMA (Africa Muslim Agency) Clinic","Kiambu","Thika Town"
"122","15796","S7TZqo12PrX","Amagoro Nursing Home","Busia","Teso North"
"123","16308","trFOpglxnpJ","Amal Medical Clinic","Mandera","Mandera East"
"124","11926","zJYlApHfSb5","Amani Afya Clinic (Kibwezi)","Makueni","Kibwezi East"
"125","10024","DP90QLovlcA","Amani Clinic","Nyeri","Kieni West"
"126","10025","YHcQHZrHqAN","Amani Clinic (Kamugunda)","Kirinyaga","Kirinyaga Central"
"127","11215","Yb2YWa0VeG5","Amani Family Medical Clinic","Kilifi","Kilifi North"
"128","19846","0","Amani Hospital","Trans Nzoia","Kiminini"
"129","88888","0","Amani Medical Center - Eldoret","Uasin Gishu","Ainabkoi"
"130","11925","rakclxqJzvB","Amani Medical Clinic (Kibwezi)","Makueni","Kibwezi East"
"131","11218","IHVe1GvMz36","Amani Medical Clinic (Likoni)","Mombasa","Likoni"
"132","11219","JqaO2Ru1d9c","Amani Medical Clinic (Malindi)","Kilifi","Magarini"
"133","10026","cra9LqUeXH4","Amani Medical Clinic (Nyeri North)","Nyeri","Kieni East"
"134","11927","Ds9yWgEiDy3","Ambalo Dispensary","Marsabit","Moyale"
"135","10027","ytjxq5xExda","Amboni Dispensary","Nyeri","Kieni West"
"136","20136","L6WIZmxznwI","AMEC LABORATORIES LIMITED","Nakuru","Njoro"
"137","24596","0","Amkeni Malindi","Kilifi","Malindi"
"138","14202","0","Amos Medical Clinic","Nakuru","Nakuru North"
"139","10028","0","Amos Wanjohi Clinic","Kirinyaga","Kirinyaga Central"
"140","13288","FsnJ5V1XM13","Amuma Dispensary","Garissa","Fafi"
"141","13289","gQeEbhqx7i0","Amuma Mobile Dispensary","Garissa","Fafi"
"142","11929","JodjtJQsd8q","Amungeti Catholic Dispensary","Meru","Igembe South"
"143","16359","MHLswr1Q2ax","Ancilla Catholic  Dispensary","Uasin Gishu","Soy"
"144","18770","0","Andulus Medical Center","Nairobi","Kamukunji"
"145","40006","0","ANGUGO DISP","Migori","Nyatike"
"146","10030","0","Ann Mwaniki Clinic","Kirinyaga","Kirinyaga Central"
"147","13481","tRzi2sxi9o5","Annex Clinic  (Gucha)","Kisii","Bomachoge Borabu"
"148","10031","jKqKfu6vPPI","Annex Laboratory","Nyeri","Mukurweini"
"149","10032","CdRTEels9nA","Annex Medical Clinic (Muranga North)","Muranga","mathioya"
"150","10033","KP9lxsIzGeD","Annunciation Catholic Dispensary","Kiambu","Ruiru"
"151","11930","KIZzTqwxVoY","Anona Dispensary","Marsabit","Moyale"
"152","11222","L6D3rAx4UAC","Ansar Medical Clinic","Mombasa","Jomvu"
"153","10034","upM328hWjQr","Antony Njogu Clinic","Nyeri","Mukurweini"
"154","21035","0","Apatit Dispensary","Busia","Teso South"
"155","16872","ThkruBQ6pew","Apex Clinic","Siaya","Bondo"
"156","21136","0","Apex hospital","Busia","Teso North"
"157","16492","D5vZ88IFIaK","Apha Laboratory","Kirinyaga","Kirinyaga North/Mwea West"
"158","11224","lIlyphPwr7Y","Apia Medical Clinic","Mombasa","Likoni"
"159","23276","cmi0t7jfAe6","APLSC Dispensary Karimanchuma","Meru","Imenti North"
"160","15803","yVK578UDBxr","Apostles Clinic","Kakamega","Butere"
"161","10035","kO8T1S6DBGb","Approved School (Thika)","Kiambu","Thika Town"
"162","14210","OHoHZYnqdfL","Aquilla Flowers Medical Clinic","Nakuru","Naivasha"
"163","13483","L4FF5SiKFLv","Aquinas Clinic","Kisii","Bomachoge Chache"
"164","13290","lhvuAc9Sgyu","Arabia Dispensary","Mandera","Mandera East"
"165","13291","dFc5sVNIz0Q","Arbajahan Health Centre","Wajir","Wajir West"
"166","16286","hoKWiidY2Ao","Arbajahan Nomadic Mobile Clinic","Wajir","Wajir West"
"167","13292","KOP1PjuP70T","Arbaqueranso Dispensary","Wajir","Wajir East"
"168","10036","reIENrdzMKn","Arcade Medical Centre","Kiambu","Ruiru"
"169","10037","HgDQroEjLHs","Arcade Medical Clinic","Nyeri","Mathira East"
"170","0","0","ARCANE HEALTH CENTRE","Nairobi","Embakasi West"
"171","24233","0","Archers Post Sub-County Hospital","Samburu","Samburu East"
"172","16810","x5EsT2FlBJ6","Aresa Dispensary","Mandera","Mandera East"
"173","13293","NGfAsUmXeUV","Argane Dispensary","Wajir","Wajir South"
"174","14213","QNmFYMk3uaN","Arimi Dispensary","Nakuru","Molo"
"175","14197","AMV8FiC4JVe","Arjijo Dispensary","Laikipia","Laikipia North"
"176","13485","P145FMfaGsd","Aro (SDA) Dispensary","Siaya","Bondo"
"177","14214","M2tQEOieF7E","Arpollo Dispensary","West Pokot","Pokot Central"
"178","12872","gJ6EAr5MFz9","Arraw Web Clinic","Nairobi","Embakasi West"
"179","14217","b8gwYD93fzI","Arsim Dispensary","Samburu","Samburu North"
"180","22594","0","ARUBA","Trans Nzoia","cherangany"
"181","10038","q5Ez2UVCndr","Asantey Clinic","Kiambu","Thika Town"
"182","18039","Q2wknvbUAES","Asembo Bay Health Clinic (Rarieda)","Siaya","Rarieda"
"183","13294","dyG9zMnv7fD","Ashabito Dispensary","Mandera","Mandera North"
"184","11226","0","Ashraf Medical Clinic","Mombasa","Mvita"
"185","11227","0","Ashton II Apparels","Mombasa","Likoni"
"186","11228","0","Ashton III Apparels","Mombasa","Likoni"
"187","12873","m2Sc53M2fCg","Aski Medical Clinic","Nairobi","Embakasi West"
"188","10039","v3Asi8qDOq7","ASPE Medical Clinic","Kiambu","Gatundu South"
"189","11229","TKmHnCHrsvP","Assa Dispensary","Tana River","Garsen"
"190","10040","wA8Ioia7gEP","Assumption of Mary Dispensary","Muranga","Gatanga"
"191","14219","0","Assururiet (SDA) Dispensary","Uasin Gishu","Kapseret"
"192","18151","0","Athi Complex and Community Health Centre","Machakos","Athi River"
"193","10041","RC7ICHe0niN","Athi Dispensary","Kiambu","Juja"
"194","11935","iSItENTqnqC","Athi River Community Hospital","Machakos","Athi River"
"195","11937","rtOVeE98u6G","Athi River Medical Services","Machakos","Athi River"
"196","13295","TC19Uo6j8UO","Athibohol Dispensary","Wajir","Wajir West"
"197","14220","mFfNCikLgni","Atiar  Dispensary","Baringo","Baringo North"
"198","10042","knEwJZLXEoO","Atlas Medical Clinic","Nyeri","Mukurweini"
"199","11230","eD2b553WBEa","Ava First Aid Clinic","Mombasa","Likoni"
"200","16866","iGNlTc6HQYU","Avarende Medical Clinic","Kakamega","Lurambi"
"201","16531","LTMl4SiD8XF","Avenue Health Care","Mombasa","Mvita"
"202","13490","Sho54BLkF2o","Avenue Health Care Clinic","Kisumu","Kisumu Central"
"203","19874","0","Avenue Hospital Parkland","Nairobi","Westlands"
"204","19912","0","AVI-MATERCARE","Isiolo","Isiolo"
"205","21489","pHGGWuSucYQ","Awach health centre","Homa Bay","Kabondo Kasipul"
"206","13296","0","Ayan Clinic","Garissa","Lagdera"
"207","11938","kkuPJWiKqMk","Azimio Medical Clinic (Meru South)","Tharaka Nithi","Chuka/Igambangombe"
"208","11232","HmOm7JFrzd1","Azimio Medical Clinic (Mombasa)","Mombasa","Mvita"
"209","11939","aZ8rLZ2bFeo","B/Valley (PCEA) Clinic","Embu","Manyatta"
"210","12877","HHIUz7tmFmc","Babadogo Medical Health Centre","Nairobi","Ruaraka"
"211","16477","gW2K81WsB75","Badana Dispensary","Isiolo","Garbatulla"
"212","14222","FQ5zXuSdUbx","Bagaria Dispensary","Nakuru","Njoro"
"213","11234","Yix9Gin75BK","Bahari Medical Clinic","Mombasa","Likoni"
"214","12878","ufQ6CGUyiTo","Bahati Clinic","Nairobi","Makadara"
"215","12880","0","Bahati Medical Clinic","Nairobi","Embakasi West"
"216","11235","xcZKo6QUSPo","Bakarani Gulshan Dispensary","Mombasa","Mvita"
"217","11236","qxwSps0OMzP","Bakhita Dispensary","Kilifi","Malindi"
"218","13297","0","Balambala Clinic","Garissa","Garissa"
"219","13298","pTOFZPQoDnA","Balambala Sub-District Hospital","Garissa","Balambala"
"220","21273","0","Baldo Ippolita","Nairobi","Embakasi East"
"221","11941","fKyaQ2gLYDS","Balesa Dispensary","Marsabit","North Horr"
"222","13299","zguJ8J2gx2C","Balich Dispensary","Garissa","Garissa"
"223","20601","0","Balla Dispensary","Marsabit","Laisamis"
"224","11241","0","Bamburi Port Land Medical Clinic","Mombasa","Mvita"
"225","16297","DnaCTWYnwnf","Banadir Clinic","Mandera","Mandera East"
"226","14225","RVVdU278kaa","Bangii Medical Clinic","Nakuru","Nakuru West"
"227","13300","MmojLQkJWtM","Banisa Dispensary","Mandera","Banisa"
"228","16692","q2BHJPYY8RA","Baraa VCT","Trans Nzoia","cherangany"
"229","10045","eulWzIq7SMk","Baragwi Maternity Clinic Kamwana","Kirinyaga","Kirinyaga Central"
"230","10046","D1cq0qClmvS","Baragwi Medical Centre","Kirinyaga","Kirinyaga East"
"231","16493","JOLHc3v1z2J","Baragwi Medical Clinic","Kirinyaga","Kirinyaga East"
"232","11943","bf1tNuipEC5","Baraka Afya Clinic","Embu","Manyatta"
"233","14230","wungKnwwvR6","Baraka Maternity Home","Nakuru","Nakuru East"
"234","17934","0","Baraka Medical Centre","Nairobi","Ruaraka"
"235","19529","0","Baraka Medical Centre","Muranga","Kangema"
"236","16202","LJsOGp1YGFM","Baraka Medical Clinic (Lamu)","Lamu","Lamu West"
"237","11245","TzAc4n9x2A8","Baraka Medical Clinic (Mombasa)","Mombasa","Kisauni"
"238","10047","vaXkKEjF7Ab","Baraka Medical Clinic (Muranga North)","Muranga","Kiharu"
"239","16670","jgCyVqimSuW","Baraka Medical Clinic (Samburu East)","Samburu","Samburu East"
"240","11246","t5f2tmrmNqe","Baraka Medicalicare Clinic","Mombasa","Likoni"
"241","11944","JQxMXTRXZ5v","Baraka Nursing Home","Kitui","Mwingi Central"
"242","16289","rdDj0xud8Bp","Baraki Dispensary","Garissa","Lagdera"
"243","11945","rBFWBxYsXNJ","Barambate Dispensary","Isiolo","Garbatulla"
"244","14232","jtPbG69vznB","Baraton Health Centre","Nandi","Chesumei"
"245","11946","Ub0k21oCCkR","Barazani Clinic","Makueni","Makueni"
"246","11247","CRwRQ7clMO0","Bargoni Nys Dispensary","Lamu","Lamu West"
"247","10048","UqHes42TZwh","Baricho Catholic Health Centre","Kirinyaga","Kirinyaga North/Mwea West"
"248","14235","HXJMJmTVPUt","Barpello Dispensary","Baringo","Tiaty"
"249","14236","JnIq6KZ1Itj","Barsaloi  Catholic Dispensary","Samburu","Samburu Central"
"250","14238","0","Barsiele Dispensary","Kericho","Kipkelion East"
"251","14240","0","Barsombe Dispensary (Turbo)","Uasin Gishu","Turbo"
"252","14241","R5ojZThWuJk","Bartabwa  Dispensary","Baringo","Baringo North"
"253","14242","Jvhg2C1eQ8L","Bartolimo  Dispensary","Baringo","Baringo North"
"254","17793","","Barut Dispesary","Nakuru","Nakuru West"
"255","13301","nPdaws1LFph","Barwaqo Clinic","Wajir","Wajir East"
"256","13302","Tlx5XPvYrNV","Barwaqo Dispensary","Wajir","Wajir East"
"257","11947","c6gXXjpuStK","Basa Dispensary","Isiolo","Isiolo"
"258","13303","e4qufcaiy1w","Basir Dispensary","Wajir","Eldas"
"259","13304","CgVjzVlFpGK","Batalu Dispensary","Wajir","Wajir North"
"260","10050","kysmMGHHdFn","Bathi Faith (ACK) Medical Dispensary","Kiambu","Lari"
"261","10051","taRRAQntvz4","Batian Eye Clinic","Nyeri","Mukurweini"
"262","10052","zXfVPF4qAN8","Batian Laboratory Services","Nyeri","Mukurweini"
"263","10053","H6jafk9RxiO","Batian Medical Services Medical Clinic","Nyeri","Mukurweini"
"264","10054","hxoLlwC6JrN","BCJ Medical Centre","Kirinyaga","Kirinyaga South"
"265","15807","joqSiPin3nH","Beberion Clinic","Kakamega","Likuyani"
"266","14246","pTlrkLDOyAx","Bekibon Dispensary","Baringo","Baringo Central"
"267","17085","0","Belgut Dispensary","Bomet","Bomet East"
"268","13501","bbQZscswt8O","Ben Rose Clinic","Homa Bay","Suba"
"269","16185","DKaqVPRcJST","Bengo Medical Clinic","Kilifi","Rabai"
"270","10057","NqXwJgJCN2H","Bens Labs","Kirinyaga","Kirinyaga Central"
"271","11249","0","Bera Clinic","Mombasa","Likoni"
"272","16533","0","Beta Medical & Skin Clinic","Mombasa","Mvita"
"273","10059","Qo8o4EwSYUi","Bethany Clinic","Kirinyaga","Kirinyaga Central"
"274","17432","ElWbzzfBiku","Bethany Dispensary","Makueni","Makueni"
"275","10060","ff0VFyEXwuc","Bethany Family Clinic","Nyeri","Kieni West"
"276","10061","RizzRJImRoW","Bethec Medical Centre","Kiambu","Ruiru"
"277","12882","NHsfMYHcIrw","Bethel Clinic","Nairobi","Starehe"
"278","14249","0","Bethel Faith Dispensary","Kericho","Kipkelion East"
"279","10062","0","Bethsaida (PCEA) Dispensary (Nyandarua)","Nyandarua","Ndaragwa"
"280","10063","jAKCwahbShG","Bethsaida (PCEA) Dispensary (Nyeri)","Nyeri","Kieni West"
"281","10064","WzhVQdqCqA7","Bethsaida Clinic (Kirinyaga-Gathiga)","Kirinyaga","Kirinyaga Central"
"282","10065","CR67nbxcUNq","Bethsaida Clinic (Kirinyaga-Thiba)","Kirinyaga","Kirinyaga South"
"283","10067","uuNZT6rjYne","Bethsaida Medical Clinic (Gatundu)","Kiambu","Gatundu South"
"284","11948","ZGzzGshLdj7","Bethsaida Medical Clinic (Kangundo)","Machakos","Matungulu"
"285","11250","0","Bethsaida Medical Clinic (Kilindini)","Mombasa","Likoni"
"286","10066","owFyLPLDenl","Bethsaida Medical Clinic (Thika)","Kiambu","Thika Town"
"287","11949","0","Bethwell Clinic","Embu","Manyatta"
"288","14253","zBPwY6uLal4","Better Health Services","Nakuru","Naivasha"
"289","10068","IvO6agVJ5YG","Better Medical Clinic","Nyandarua","Kinangop"
"290","11251","0","Better Off Knowing Stand Alone VCT Centre (Liverpo","Kilifi","Malindi"
"291","14254","0","Bewa Medical Clinic","Nakuru","Nakuru North"
"292","21646","0","Beyon zero clinic","Lamu","Lamu East"
"293","21016","0","Beyond Zero Mobile Clinic (Homabay)","Homa Bay","Homa Bay Town"
"294","20206","0","BHESP","Nairobi","Embakasi West"
"295","12884","d2rzxeVcRN1","Biafra Medical Clinic","Nairobi","Kamukunji"
"296","10069","b5xdYrMeTab","Bibirioni Health Centre","Kiambu","Limuru"
"297","10070","whf6L6Xzk8e","Bigem Clinic","Kirinyaga","Kirinyaga South"
"298","14255","bbXkzFR5qky","Bigot Medical Clinic","Nakuru","Naivasha"
"299","11252","0","Biham Clinic","Mombasa","Likoni"
"300","21225","0","Bila Shaka Dispensary","Kwale","Matuga"
"301","21255","0","BILASHAKA DISPENSARY","Kwale","Matuga"
"302","10071","0","Binadamu Clinic","Kirinyaga","Kirinyaga Central"
"303","30560","0","BIRUNDA","Trans Nzoia","Kiminini"
"304","11950","SmbwwJ13Qyf","Bisan Biliqo Dispensary","Isiolo","Merti"
"305","16311","Gj6rfEeSe5I","Bismillahi Medical Clinic","Mandera","Mandera East"
"306","13306","ahagb4aiyNQ","Biyamadhow Dispensary","Wajir","Wajir South"
"307","10072","bnAPG8xAAs7","Bl Palazzolo Dispensary","Kiambu","Githunguri"
"308","23768","0","Bliss Medical Clinic","Nyeri","Nyeri South (Othaya)"
"309","13307","mFx8PxZLvvT","Blue Light Nursing Home","Mandera","Mandera East"
"310","10073","toePWucCjPL","Blue Line Clinic","Kirinyaga","Kirinyaga Central"
"311","17609","bTZzCfsUUIv","Blue Turtle Dispensary","Kitui","Kitui South"
"312","19561","0","Bodaki Health Centre","Nairobi","Westlands"
"313","16558","WawKSiTTtCM","Boddu Pharmacy Ltd","Meru","Imenti North"
"314","13308","SD8zbK9C7ds","Bodhai Dispensary","Garissa","Hulugho"
"315","18280","jc31CNqvToC","Boito Dispensary","Bomet","Konoin"
"316","11951","k9yqhyTOmKm","Boji Dispensary","Isiolo","Garbatulla"
"317","13309","aX2ThTzHWkV","Bolimoog Clinic","Garissa","Garissa"
"318","71206","0","Bolo Health Center","Kisumu","Nyando"
"319","12886","nIWne3mxn2n","Bomas of Kenya Dispensary","Nairobi","Langata"
"320","11257","0","Bombolulu Medical Centre","Mombasa","Mvita"
"321","16534","0","Bombolulu Staff Clinic","Mombasa","Mvita"
"322","16184","HI2fO8mdUf2","Bombululu Medical Clinic","Kilifi","Kaloleni"
"323","16441","HK3kBMXsXIE","Bona Medical Clinic","Mombasa","Kisauni"
"324","14262","0","Bonchoge Dispensary","Nandi","Aldai"
"325","13508","v8yY4OQYPJg","Bondo Medical clinic","Siaya","Bondo"
"326","14267","d8zHIGmNbPS","Borana Dispensary","Laikipia","Laikipia North"
"327","13512","CLH4kUT5Ua4","Border Clinic","Migori","Kuria West"
"328","13310","gHFF7a2a54N","Bore Hole 11 Dispensary","Mandera","Kutulo"
"329","11952","qacBWUQnEgo","Bori Dispensary","Marsabit","Moyale"
"330","14269","DMF5wWYxVHg","Borrowonin  Dispensary","Baringo","Baringo Central"
"331","23019","","Bosnia Dispensary","Makueni","Makueni"
"332","14270","WN8SWfDASte","Bossei Dispensary","Baringo","Baringo North"
"333","13311","SeSNXZyUdeO","Bouargi Dispensary","Garissa","Garissa"
"334","20112","0","Bouti Dispensary","Kisii","Nyaribari Chache"
"335","13516","LJ30sKf3l1b","Boya Nursing Home","Kisumu","Nyando"
"336","16811","CrYDpw7MccF","BP1 Dispensary","Mandera","Mandera East"
"337","10075","lkoHogbX53N","Breeze Hospital","Muranga","Kandara"
"338","11954","Fmimhs0Y0ch","Bright Clinic","Meru","Igembe North"
"339","11261","HBATaqhpFeL","Brollo K Dispensary","Mombasa","Likoni"
